GENERAL SHEET NOTES,GENERAL SHEET NOTES.1
A.,ALL PIPING EXPOSED TO SUNLIGHT MUST BE METALLIC.
B.,"SLOPE SANITARY WASTE PIPE 3"" OR LARGER AT 1/8"" PER FOOT (1 PERCENT) UNLESS OTHERWISE NOTED."
C.,"SLOPE SANITARY WASTE PIPE 2-1/2"" AND SMALLER AT 1/4"" PER FOOT (2 PERCENT) UNLESS OTHERWISE NOTED."
D.,"SLOPE CONDENSATE DRAIN AT 1/8"" PER FOOT (1 PERCENT) UNLESS OTHERWISE NOTED."
E.,ALL HORIZONTAL DRAINS SHALL BE PROVIDED WITH CLEANOUTS LOCATED NO MORE THAN 100 FEET APART.
F.,"CLEANOUTS SHALL BE INSTALLED AT THE BASE OF ALL STACKS AND EACH CHANGE OF DIRECTION GREATER THAN 45 DEGREES IN THE BUILDING SEWER, BUILDING DRAIN, AND HORIZONTAL WASTE OR SOIL LINES. WHERE MORE THAN ONE CHANGE IN DIRECTION OCCURS IN A RUN OF PIPING ONLY ONE CLEANOUT SHALL BE REQUIRED FOR EACH 50 FEET OF DEVELOPED LENGTH OF THE DRAINAGE PIPING FOR PIPING 4 INCHES AND SMALLER AND 100 FEET MINIMUM INTERVALS FOR PIPING LARGER THAN 4 INCHES."
G.,ALL FLOOR DRAINS AND FLOOR SINKS SHALL BE PROVIDED WITH TRAP GUARD.
H.,PROVIDE SHUT-OFF VALVE AT EACH EQUIPMENT AND FIXTURE CONNECTION.
I.,REFER TO SERVICE CONNECTION SCHEDULE FOR PIPE SIZE TO FIXTURES.
J.,SEE STRUCTURAL DRAWINGS FOR SLAB-ON-GRADE INFILL.
